year,sex,name,n,prop
1880,F,Naomi,32,3.2785e-4
1880,F,Missouri,23,2.3564e-4
1880,F,Mai,6,6.147e-5
1880,M,Levi,112,9.4595e-4
1880,M,Eli,73,6.1655e-4
1880,M,Malachi,10,8.446e-5
1880,M,Moroni,5,4.223e-5
1881,F,Naomi,55,5.5637e-4
1881,F,Missouri,17,1.7197e-4
1881,F,Mai,6,6.0690000000000003e-05
1881,M,Levi,104,9.6046e-4
1881,M,Eli,97,8.9581e-4
1881,M,Malachi,5,4.618e-5
1882,F,Naomi,54,4.6674e-4
1882,F,Missouri,21,1.8151e-4
1882,F,Vashti,6,5.186e-5
1882,M,Levi,105,8.6044e-4
1882,M,Eli,94,7.703e-4
1882,M,Malachi,8,6.556e-5
1883,F,Naomi,56,4.6644e-4
1883,F,Missouri,20,1.6658e-4
1883,M,Levi,85,7.5571e-4
1883,M,Eli,82,7.2904e-4
1884,F,Naomi,61,4.4336e-4
1884,F,Missouri,23,1.6717e-4
1884,M,Levi,91,7.4142e-4
1884,M,Eli,67,5.4588e-4
1885,F,Naomi,68,4.7905e-4
1885,F,Missouri,24,1.6908e-4
1885,M,Levi,79,6.8136e-4
1885,M,Eli,56,4.8299e-4
1885,M,Malachi,7,6.037e-5
1885,M,Henri,5,4.312e-5
1886,F,Naomi,55,3.5776e-4
1886,F,Missouri,30,1.9514e-4
1886,M,Levi,97,8.1485e-4
1886,M,Eli,66,5.5443e-4
1886,M,Malachi,8,6.72e-5
1887,F,Naomi,76,4.8899e-4
1887,F,Missouri,29,1.8659e-4
1887,M,Levi,75,6.861e-4
1887,M,Eli,51,4.6655e-4
1887,M,Malachi,7,6.404e-5
1887,M,Henri,6,5.489e-5
1888,F,Naomi,93,4.9091e-4
1888,F,Missouri,37,1.9531e-4
1888,F,Vashti,6,3.167e-5
1888,F,Patti,5,2.639e-5
1888,M,Levi,91,7.0051e-4
1888,M,Eli,75,5.7734e-4
1888,M,Henri,8,6.158e-5
1888,M,Malachi,7,5.389e-5
1889,F,Naomi,79,4.1751e-4
1889,F,Missouri,40,2.114e-4
1889,F,Vashti,8,4.228e-5
1889,F,Patti,7,3.699e-5
1889,M,Levi,88,7.393e-4
1889,M,Eli,60,5.0407e-4
1889,M,Malachi,6,5.041e-5
1890,F,Naomi,122,6.0498e-4
1890,F,Missouri,26,1.2893e-4
1890,F,Vashti,9,4.463e-5
1890,F,Mai,5,2.479e-5
1890,M,Levi,74,6.1821e-4
1890,M,Eli,49,4.0935e-4
1890,M,Malachi,8,6.683e-5
1891,F,Naomi,132,6.7153e-4
1891,F,Missouri,19,9.666e-5
1891,F,Mai,5,2.544e-5
1891,F,Patti,5,2.544e-5
1891,F,Vashti,5,2.544e-5
1891,M,Levi,68,6.2234e-4
1891,M,Eli,49,4.4845e-4
1891,M,Adlai,6,5.491e-5
1891,M,Malachi,5,4.576e-5
1892,F,Naomi,143,6.358e-4
1892,F,Missouri,31,1.3783e-4
1892,F,Vashti,9,4.002e-5
1892,M,Levi,77,5.8576e-4
1892,M,Eli,60,4.5644e-4
1892,M,Adlai,17,1.2932e-4
1892,M,Malachi,5,3.804e-5
1893,F,Naomi,186,8.2582e-4
1893,F,Missouri,28,1.2432e-4
1893,F,Vashti,12,5.328e-5
1893,F,Lempi,9,3.996e-5
1893,M,Levi,75,6.1962e-4
1893,M,Eli,53,4.3787e-4
1893,M,Adlai,9,7.435e-5
1894,F,Naomi,196,8.3061e-4
1894,F,Missouri,30,1.2713e-4
1894,F,Vashti,11,4.662e-5
1894,F,Lempi,5,2.119e-5
1894,M,Levi,68,5.4447e-4
1894,M,Eli,60,4.8041e-4
1894,M,Malachi,6,4.804e-5
1894,M,Adlai,5,4.003e-5
1895,F,Naomi,249,0.00100766
1895,F,Missouri,16,6.475e-5
1895,F,Vashti,12,4.856e-5
1895,F,Mai,6,2.428e-5
1895,M,Levi,72,5.6853e-4
1895,M,Eli,55,4.3429e-4
1896,F,Naomi,269,0.00106749
1896,F,Missouri,25,9.921e-5
1896,F,Vashti,12,4.762e-5
